School Name,School Type,Total Students,Total School Budget,Per Student Budget,Average Math Score,Average Reading Score,% Passing Math,% Passing Reading,% Overall Passing
Rodriguez High School,District,3999,"$2,547,363.00",$637.00,76.84271067766942,80.74468617154288,2654,3208,52.988247061765435
Figueroa High School,District,2949,"$1,884,411.00",$639.00,76.71176670057646,81.15801966768396,1946,2381,53.20447609359105
Huang High School,District,2917,"$1,910,635.00",$655.00,76.62941378128214,81.18272197463148,1916,2372,53.51388412752828
Hernandez High School,District,4635,"$3,022,020.00",$652.00,77.28975188781014,80.9344120819849,3094,3748,53.52750809061489
Johnson High School,District,4761,"$3,094,650.00",$650.00,77.07246376811594,80.96639361478681,3145,3867,53.53917244276413
Ford High School,District,2739,"$1,763,916.00",$644.00,77.10259218692954,80.74625775830594,1871,2172,54.289886820007304
Bailey High School,District,4976,"$3,124,928.00",$628.00,77.04843247588424,81.03396302250803,3318,4077,54.64228295819936
Holden High School,Charter,427,"$248,087.00",$581.00,83.80327868852459,83.81498829039812,395,411,89.22716627634661
Shelton High School,Charter,1761,"$1,056,600.00",$600.00,83.3594548551959,83.72572402044293,1653,1688,89.89210675752413
Wright High School,Charter,1800,"$1,049,400.00",$583.00,83.68222222222222,83.955,1680,1739,90.33333333333333
Pena High School,Charter,962,"$585,858.00",$609.00,83.83991683991684,84.04469854469855,910,923,90.54054054054053
Wilson High School,Charter,2283,"$1,319,574.00",$578.00,83.2742006132282,83.98948751642575,2143,2204,90.58256679807272
Griffin High School,Charter,1468,"$917,500.00",$625.00,83.35149863760218,83.816757493188,1371,1426,90.59945504087193
Thomas High School,Charter,1635,"$1,043,130.00",$638.00,83.4183486238532,83.84892966360856,1525,1591,90.94801223241589
Cabrera High School,Charter,1858,"$1,081,356.00",$582.00,83.06189451022605,83.97578040904197,1749,1803,91.33476856835307
